COUNTRYNAME,LANDSIZE,POP,GDP,GDPPER
Romania,"238,397"," 19,237,691 "," $286,509.00 "," $14,893.11 "
Laos,"236,800"," 7,275,560 "," $17,347.00 "," $2,384.28 "
Guyana,"214,969"," 786,552 "," $13,543.00 "," $17,218.19 "
Belarus,"207,600"," 9,449,323 "," $59,394.00 "," $6,285.53 "
Kyrgyzstan,"199,951"," 6,524,195 "," $9,017.00 "," $1,382.09 "
Senegal,"196,722"," 16,743,927 "," $28,435.00 "," $1,698.23 "
Syria,"185,180"," 17,500,658 "," $60,043.00 "," $3,430.90 "
Cambodia,"181,035"," 16,718,965 "," $28,020.00 "," $1,675.94 "
Uruguay,"176,215"," 3,473,730 "," $64,283.00 "," $18,505.47 "
Suriname,"163,820"," 586,632 "," $2,988.00 "," $5,093.48 "
Tunisia,"163,610"," 11,818,619 "," $45,642.00 "," $3,861.87 "
Bangladesh,"148,460"," 164,689,383 "," $396,543.00 "," $2,407.82 "
Nepal,"147,181"," 29,136,808 "," $36,315.00 "," $1,246.36 "
Tajikistan,"143,100"," 9,537,645 "," $7,820.00 ", $819.91 
Greece,"131,957"," 10,423,054 "," $222,770.00 "," $21,372.81 "
Nicaragua,"130,373"," 6,624,554 "," $15,764.00 "," $2,379.63 "
Malawi,"118,484"," 19,129,952 "," $12,042.00 ", $629.48 
Eritrea,"117,600"," 3,546,421 "," $2,568.00 ", $724.11 
Benin,"114,763"," 12,123,200 "," $18,387.00 "," $1,516.68 "
Honduras,"112,492"," 9,904,607 "," $30,116.00 "," $3,040.61 "
Liberia,"111,369"," 5,057,681 "," $3,829.00 ", $757.07 
Bulgaria,"111,002"," 6,948,445 "," $89,533.00 "," $12,885.33 "
Guatemala,"108,889"," 17,915,568 "," $91,019.00 "," $5,080.44 "
Iceland,"103,000"," 341,243 "," $27,865.00 "," $81,657.35 "
South Korea,"100,210"," 51,269,185 "," $1,804,680.00 "," $35,200.09 "
Hungary,"93,028"," 9,660,351 "," $197,813.00 "," $20,476.79 "
Portugal,"92,226"," 10,196,709 "," $251,915.00 "," $24,705.52 "
Jordan,"89,342"," 10,203,134 "," $47,745.00 "," $4,679.44 "
Serbia,"88,361"," 8,737,371 "," $65,037.00 "," $7,443.54 "
Azerbaijan,"86,600"," 10,139,177 "," $73,369.00 "," $7,236.19 "
Austria,"83,871"," 9,006,398 "," $479,815.00 "," $53,274.91 "
United Arab Emirates,"83,600"," 9,890,402 "," $501,354.00 "," $50,690.96 "
Panama,"75,417"," 4,314,767 "," $70,492.00 "," $16,337.38 "
Sierra Leone,"71,740"," 7,976,983 "," $4,268.00 ", $535.04 
Ireland,"70,273"," 4,937,786 "," $516,146.00 "," $104,529.84 "
Georgia,"69,700"," 3,989,167 "," $20,889.00 "," $5,236.43 "
Sri Lanka,"65,610"," 21,413,249 "," $81,934.00 "," $3,826.32 "
Lithuania,"65,300"," 2,722,289 "," $69,782.00 "," $25,633.58 "
Latvia,"64,559"," 1,886,198 "," $40,266.00 "," $21,347.71 "
Togo,"56,785"," 8,278,724 "," $8,699.00 "," $1,050.77 "
Croatia,"56,594"," 4,105,267 "," $69,459.00 "," $16,919.48 "
Bosnia and Herzegovina,"51,209"," 3,280,819 "," $23,358.00 "," $7,119.56 "
Costa Rica,"51,100"," 5,094,118 "," $65,314.00 "," $12,821.45 "
Slovakia,"49,037"," 5,459,642 "," $118,434.00 "," $21,692.63 "
Dominican Republic,"48,671"," 10,847,910 "," $109,080.00 "," $10,055.39 "
Estonia,"45,227"," 1,326,535 "," $37,202.00 "," $28,044.49 "
Denmark,"43,094"," 5,792,202 "," $399,100.00 "," $68,902.98 "
Netherlands,"41,850"," 17,134,872 "," $1,013,595.00 "," $59,153.93 "
Switzerland,"41,284"," 8,654,622 "," $841,969.00 "," $97,285.47 "
Bhutan,"38,394"," 771,608 "," $2,653.00 "," $3,438.27 "
Taiwan,"36,193"," 23,816,775 "," $841,209.00 "," $35,320.02 "
Guinea-Bissau,"36,125"," 1,968,001 "," $1,656.00 ", $841.46 
Moldova,"33,846"," 4,033,963 "," $13,811.00 "," $3,423.68 "
Belgium,"30,528"," 11,589,623 "," $609,887.00 "," $52,623.54 "
Lesotho,"30,355"," 2,142,249 "," $2,561.00 "," $1,195.47 "
Armenia,"29,743"," 2,963,243 "," $14,047.00 "," $4,740.41 "
Solomon Islands,"28,896"," 686,884 "," $1,669.00 "," $2,429.81 "
Albania,"28,748"," 2,877,797 "," $17,942.00 "," $6,234.63 "
Equatorial Guinea,"28,051"," 1,402,985 "," $16,335.00 "," $11,643.03 "
Burundi,"27,834"," 11,890,784 "," $3,431.00 ", $288.54 
Haiti,"27,750"," 11,402,528 "," $20,168.00 "," $1,768.73 "
Rwanda,"26,338"," 12,952,218 "," $12,060.00 ", $931.11 
North Macedonia,"25,713"," 2,083,374 "," $14,198.00 "," $6,814.91 "
